Local Government Area,State/Territory,Age Group,Population
Bathurst Regional,NSW,45 - 49,2450
Bathurst Regional,NSW,50 - 54,2243
Bathurst Regional,NSW,55 - 59,1884
Bathurst Regional,NSW,60 - 64,1400
Bathurst Regional,NSW,65 - 69,1148
Bathurst Regional,NSW,70 - 74,1066
Bathurst Regional,NSW,75 - 79,858
Bathurst Regional,NSW,80 - 84,556
Bathurst Regional,NSW,85 and over,513
Baw Baw,VIC,0 - 4,2297
Baw Baw,VIC,5 - 9,2789
Baw Baw,VIC,10 - 14,3071
Baw Baw,VIC,15 - 19,2739
Baw Baw,VIC,20 - 24,1771
Baw Baw,VIC,25 - 29,1777
Baw Baw,VIC,30 - 34,2283
Baw Baw,VIC,35 - 39,2444
Baw Baw,VIC,40 - 44,2910
Baw Baw,VIC,45 - 49,2680
Baw Baw,VIC,50 - 54,2548
Baw Baw,VIC,55 - 59,1999
Baw Baw,VIC,60 - 64,1763
Baw Baw,VIC,65 - 69,1399
Baw Baw,VIC,70 - 74,1252
Baw Baw,VIC,75 - 79,1015
Baw Baw,VIC,80 - 84,698
Baw Baw,VIC,85 and over,555
Bayside,VIC,0 - 4,8341
Bayside,VIC,0 - 4,5233
Bayside,VIC,5 - 9,7389
Bayside,VIC,5 - 9,5646
Bayside,VIC,10 - 14,6901
Bayside,VIC,10 - 14,5825
Bayside,VIC,15 - 19,7408
Bayside,VIC,15 - 19,5419
Bayside,VIC,20 - 24,9286
Bayside,VIC,20 - 24,4468
Bayside,VIC,25 - 29,10469
Bayside,VIC,25 - 29,4192
Bayside,VIC,30 - 34,10941
Bayside,VIC,30 - 34,5785
Bayside,VIC,35 - 39,10290
Bayside,VIC,35 - 39,6640
Bayside,VIC,40 - 44,9357
Bayside,VIC,40 - 44,7405
Bayside,VIC,45 - 49,8400
Bayside,VIC,45 - 49,6838
Bayside,VIC,50 - 54,8078
Bayside,VIC,50 - 54,6528
Bayside,VIC,55 - 59,7115
Bayside,VIC,55 - 59,5582
Bayside,VIC,60 - 64,5847
Bayside,VIC,60 - 64,3820
Bayside,VIC,65 - 69,5227
Bayside,VIC,65 - 69,3172
Bayside,VIC,70 - 74,4614
Bayside,VIC,70 - 74,3398
Bayside,VIC,75 - 79,4077
Bayside,VIC,75 - 79,3531
Bayside,VIC,80 - 84,3029
Bayside,VIC,80 - 84,2781
Bayside,VIC,85 and over,2608
Bayside,VIC,85 and over,2454
Bayswater,WA,0 - 4,3206
Bayswater,WA,5 - 9,3026
Bayswater,WA,10 - 14,3090
Bayswater,WA,15 - 19,3771
Bayswater,WA,20 - 24,4468
Bayswater,WA,25 - 29,4626
Bayswater,WA,30 - 34,4869
Bayswater,WA,35 - 39,4478
Bayswater,WA,40 - 44,4365
Bayswater,WA,45 - 49,4272
Bayswater,WA,50 - 54,4161
Bayswater,WA,55 - 59,3359
Bayswater,WA,60 - 64,2655
Bayswater,WA,65 - 69,2230
Bayswater,WA,70 - 74,1946
Bayswater,WA,75 - 79,1756
Bayswater,WA,80 - 84,1156
Bayswater,WA,85 and over,998
Bega Valley,NSW,0 - 4,1734
Bega Valley,NSW,5 - 9,2207
Bega Valley,NSW,10 - 14,2503
Bega Valley,NSW,15 - 19,2030
Bega Valley,NSW,20 - 24,1059
Bega Valley,NSW,25 - 29,1202
Bega Valley,NSW,30 - 34,1642
Bega Valley,NSW,35 - 39,1919
Bega Valley,NSW,40 - 44,2519
Bega Valley,NSW,45 - 49,2478
Bega Valley,NSW,50 - 54,2210
Bega Valley,NSW,55 - 59,2097
Bega Valley,NSW,60 - 64,1875
Bega Valley,NSW,65 - 69,1564
Bega Valley,NSW,70 - 74,1421
Bega Valley,NSW,75 - 79,1156
Bega Valley,NSW,80 - 84,677
Bega Valley,NSW,85 and over,497
Bellingen,NSW,0 - 4,724
Bellingen,NSW,5 - 9,959
Bellingen,NSW,10 - 14,1074
Bellingen,NSW,15 - 19,854
Bellingen,NSW,20 - 24,384
Bellingen,NSW,25 - 29,442
Bellingen,NSW,30 - 34,632
Bellingen,NSW,35 - 39,859
Bellingen,NSW,40 - 44,1107
Bellingen,NSW,45 - 49,1091
Bellingen,NSW,50 - 54,893
Bellingen,NSW,55 - 59,805
Bellingen,NSW,60 - 64,722
Bellingen,NSW,65 - 69,611
Bellingen,NSW,70 - 74,568
Bellingen,NSW,75 - 79,436
Bellingen,NSW,80 - 84,297
Bellingen,NSW,85 and over,215
Belmont,WA,0 - 4,1873
Belmont,WA,5 - 9,1704
Belmont,WA,10 - 14,1588
Belmont,WA,15 - 19,1762
Belmont,WA,20 - 24,2265
Belmont,WA,25 - 29,2573
Belmont,WA,30 - 34,2679
Belmont,WA,35 - 39,2232
Belmont,WA,40 - 44,2084
Belmont,WA,45 - 49,1824
Belmont,WA,50 - 54,1837
Belmont,WA,55 - 59,1616
Belmont,WA,60 - 64,1486
Belmont,WA,65 - 69,1349
Belmont,WA,70 - 74,1210
Belmont,WA,75 - 79,1046
Belmont,WA,80 - 84,663
Belmont,WA,85 and over,482
Belyuen,NT,0 - 4,25
Belyuen,NT,5 - 9,25
Belyuen,NT,10 - 14,17
Belyuen,NT,15 - 19,20
Belyuen,NT,20 - 24,22
Belyuen,NT,25 - 29,11
Belyuen,NT,30 - 34,24
Belyuen,NT,35 - 39,14
Belyuen,NT,40 - 44,19
Belyuen,NT,45 - 49,12
Belyuen,NT,50 - 54,10
Belyuen,NT,55 - 59,7
Belyuen,NT,60 - 64,9
Belyuen,NT,65 - 69,3
Belyuen,NT,70 - 74,2
Belyuen,NT,75 - 79,1
Belyuen,NT,80 - 84,1
Belyuen,NT,85 and over,1
Benalla,VIC,0 - 4,839
Benalla,VIC,5 - 9,1047
Benalla,VIC,10 - 14,1066
Benalla,VIC,15 - 19,1006
Benalla,VIC,20 - 24,553
Benalla,VIC,25 - 29,585
Benalla,VIC,30 - 34,714
Benalla,VIC,35 - 39,873
Benalla,VIC,40 - 44,1102
Benalla,VIC,45 - 49,1063
Benalla,VIC,50 - 54,998
Benalla,VIC,55 - 59,829
Benalla,VIC,60 - 64,739
Benalla,VIC,65 - 69,613
Benalla,VIC,70 - 74,621
Benalla,VIC,75 - 79,578
Benalla,VIC,80 - 84,358
Benalla,VIC,85 and over,313
Berri and Barmera,SA,0 - 4,764
Berri and Barmera,SA,5 - 9,768
Berri and Barmera,SA,10 - 14,806
Berri and Barmera,SA,15 - 19,795
Berri and Barmera,SA,20 - 24,614
Berri and Barmera,SA,25 - 29,702
Berri and Barmera,SA,30 - 34,749
Berri and Barmera,SA,35 - 39,778
Berri and Barmera,SA,40 - 44,896
Berri and Barmera,SA,45 - 49,836
Berri and Barmera,SA,50 - 54,783
Berri and Barmera,SA,55 - 59,633
Berri and Barmera,SA,60 - 64,465
Berri and Barmera,SA,65 - 69,469
Berri and Barmera,SA,70 - 74,431
Berri and Barmera,SA,75 - 79,350
Berri and Barmera,SA,80 - 84,225
Berri and Barmera,SA,85 and over,180
Berrigan,NSW,0 - 4,483
Berrigan,NSW,5 - 9,546
Berrigan,NSW,10 - 14,590
Berrigan,NSW,15 - 19,506
Berrigan,NSW,20 - 24,345
Berrigan,NSW,25 - 29,383
Berrigan,NSW,30 - 34,462
Berrigan,NSW,35 - 39,465
Berrigan,NSW,40 - 44,561
Berrigan,NSW,45 - 49,572
Berrigan,NSW,50 - 54,541
Berrigan,NSW,55 - 59,541
Berrigan,NSW,60 - 64,492
Berrigan,NSW,65 - 69,440
Berrigan,NSW,70 - 74,421
Berrigan,NSW,75 - 79,327
Berrigan,NSW,80 - 84,216
Berrigan,NSW,85 and over,167
Beverley,WA,0 - 4,102
Beverley,WA,5 - 9,111
Beverley,WA,10 - 14,104
Beverley,WA,15 - 19,52
Beverley,WA,20 - 24,42
Beverley,WA,25 - 29,83
Beverley,WA,30 - 34,98
Beverley,WA,35 - 39,104
Beverley,WA,40 - 44,98
Beverley,WA,45 - 49,131
Beverley,WA,50 - 54,140
Beverley,WA,55 - 59,134
Beverley,WA,60 - 64,132
Beverley,WA,65 - 69,78
Beverley,WA,70 - 74,65
Beverley,WA,75 - 79,41
Beverley,WA,80 - 84,37
Beverley,WA,85 and over,34
Blacktown,NSW,0 - 4,22694
Blacktown,NSW,5 - 9,22632
Blacktown,NSW,10 - 14,20885
Blacktown,NSW,15 - 19,20052
Blacktown,NSW,20 - 24,19738
Blacktown,NSW,25 - 29,20906
Blacktown,NSW,30 - 34,22569
Blacktown,NSW,35 - 39,21226
Blacktown,NSW,40 - 44,20121
Blacktown,NSW,45 - 49,17810
Blacktown,NSW,50 - 54,16442
Blacktown,NSW,55 - 59,12681
Blacktown,NSW,60 - 64,8751
Blacktown,NSW,65 - 69,6908
Blacktown,NSW,70 - 74,5703
Blacktown,NSW,75 - 79,4090
Blacktown,NSW,80 - 84,2324
Blacktown,NSW,85 and over,1516
Bland,NSW,0 - 4,491
Bland,NSW,5 - 9,492
Bland,NSW,10 - 14,507
Bland,NSW,15 - 19,445
Bland,NSW,20 - 24,283
Bland,NSW,25 - 29,340
Bland,NSW,30 - 34,369
Bland,NSW,35 - 39,433
Bland,NSW,40 - 44,494
Bland,NSW,45 - 49,463
Bland,NSW,50 - 54,438
Bland,NSW,55 - 59,343
Bland,NSW,60 - 64,349
Bland,NSW,65 - 69,301
Bland,NSW,70 - 74,298
Bland,NSW,75 - 79,242
Bland,NSW,80 - 84,120
Bland,NSW,85 and over,121
Blayney,NSW,0 - 4,471
Blayney,NSW,5 - 9,513
Blayney,NSW,10 - 14,538
Blayney,NSW,15 - 19,436
Blayney,NSW,20 - 24,266
Blayney,NSW,25 - 29,313
Blayney,NSW,30 - 34,439
Blayney,NSW,35 - 39,482
Blayney,NSW,40 - 44,504
Blayney,NSW,45 - 49,486
Blayney,NSW,50 - 54,436
Blayney,NSW,55 - 59,401
Blayney,NSW,60 - 64,343
Blayney,NSW,65 - 69,296
Blayney,NSW,70 - 74,279
Blayney,NSW,75 - 79,160
Blayney,NSW,80 - 84,99
Blayney,NSW,85 and over,83
Blue Mountains,NSW,0 - 4,4871
Blue Mountains,NSW,5 - 9,5367
Blue Mountains,NSW,10 - 14,5714
Blue Mountains,NSW,15 - 19,5581
Blue Mountains,NSW,20 - 24,4067
Blue Mountains,NSW,25 - 29,4105
Blue Mountains,NSW,30 - 34,4880
Blue Mountains,NSW,35 - 39,5373
Blue Mountains,NSW,40 - 44,6322
Blue Mountains,NSW,45 - 49,6200
Blue Mountains,NSW,50 - 54,5942
Blue Mountains,NSW,55 - 59,4819
Blue Mountains,NSW,60 - 64,3357
Blue Mountains,NSW,65 - 69,2720
